method,cancer,fold,test_cindex,val_cindex_best,val_cindex_last5,val_cindex_ipcw_best,val_IBS_best,val_iauc_best,best_epoch,model_dir
ACT-Surv_v5,blca,0,0.6122,0.6126,0.6007,0.5738,0.2018,0.7395,29,results/act_surv_v5/full_run/blca/SurvOTRank_archetypal_transport_composition_v5/0.0005_b8_survival_months_dss_Dim_256_e_50_g_Pathways_sig_combine_seed3_rW_8_rG_8_sp_act_surv_v5_blca_fold0
ACT-Surv_v5,blca,1,0.6664,0.6652,0.6572,0.6262,0.6542,0.9170,28,results/act_surv_v5/full_run/blca/SurvOTRank_archetypal_transport_composition_v5/0.0005_b8_survival_months_dss_Dim_256_e_50_g_Pathways_sig_combine_seed3_rW_8_rG_8_sp_act_surv_v5_blca_fold1
ACT-Surv_v5,blca,2,0.7151,0.7156,0.6943,0.5943,0.3324,0.5441,6,results/act_surv_v5/full_run/blca/SurvOTRank_archetypal_transport_composition_v5/0.0005_b8_survival_months_dss_Dim_256_e_50_g_Pathways_sig_combine_seed3_rW_8_rG_8_sp_act_surv_v5_blca_fold2
ACT-Surv_v5,blca,3,0.6427,0.6427,0.6299,0.6276,0.3067,0.7802,17,results/act_surv_v5/full_run/blca/SurvOTRank_archetypal_transport_composition_v5/0.0005_b8_survival_months_dss_Dim_256_e_50_g_Pathways_sig_combine_seed3_rW_8_rG_8_sp_act_surv_v5_blca_fold3
ACT-Surv_v5,blca,4,0.7274,0.7274,0.7147,0.6573,0.4366,0.7460,20,results/act_surv_v5/full_run/blca/SurvOTRank_archetypal_transport_composition_v5/0.0005_b8_survival_months_dss_Dim_256_e_50_g_Pathways_sig_combine_seed3_rW_8_rG_8_sp_act_surv_v5_blca_fold4
ACT-Surv_v5,hnsc,0,0.5766,0.5766,0.5254,0.5357,0.3849,0.6761,35,results/act_surv_v5/full_run/hnsc/SurvOTRank_archetypal_transport_composition_v5/0.0005_b8_survival_months_dss_Dim_256_e_50_g_Pathways_sig_combine_seed3_rW_8_rG_8_sp_act_surv_v5_hnsc_fold0
ACT-Surv_v5,hnsc,1,0.6574,0.6572,0.5771,0.6388,0.8818,0.2349,7,results/act_surv_v5/full_run/hnsc/SurvOTRank_archetypal_transport_composition_v5/0.0005_b8_survival_months_dss_Dim_256_e_50_g_Pathways_sig_combine_seed3_rW_8_rG_8_sp_act_surv_v5_hnsc_fold1
ACT-Surv_v5,hnsc,2,0.5614,0.5617,0.5005,0.4954,0.3208,0.2236,22,results/act_surv_v5/full_run/hnsc/SurvOTRank_archetypal_transport_composition_v5/0.0005_b8_survival_months_dss_Dim_256_e_50_g_Pathways_sig_combine_seed3_rW_8_rG_8_sp_act_surv_v5_hnsc_fold2
ACT-Surv_v5,hnsc,3,0.5743,0.5743,0.5462,0.6353,0.5426,0.6634,41,results/act_surv_v5/full_run/hnsc/SurvOTRank_archetypal_transport_composition_v5/0.0005_b8_survival_months_dss_Dim_256_e_50_g_Pathways_sig_combine_seed3_rW_8_rG_8_sp_act_surv_v5_hnsc_fold3
ACT-Surv_v5,hnsc,4,0.7164,0.7168,0.6404,NAN,0.2454,NAN,20,results/act_surv_v5/full_run/hnsc/SurvOTRank_archetypal_transport_composition_v5/0.0005_b8_survival_months_dss_Dim_256_e_50_g_Pathways_sig_combine_seed3_rW_8_rG_8_sp_act_surv_v5_hnsc_fold4
