method,study,fold,epochs,best_cindex,best_epoch,last_cindex,last5_mean
dct_v3.3_score_first,blca,0,50,0.7552,5,0.6482,0.6569
dct_v3.3_score_first,blca,1,50,0.7157,6,0.5431,0.5314
dct_v3.3_score_first,blca,2,50,0.7046,19,0.6429,0.6474
dct_v3.3_score_first,blca,3,50,0.7104,35,0.7049,0.6656
dct_v3.3_score_first,blca,4,50,0.7696,37,0.7553,0.7253
dct_v3.3_score_first,brca,0,50,0.6458,42,0.3963,0.4207
dct_v3.3_score_first,brca,1,50,0.755,26,0.5606,0.5859
dct_v3.3_score_first,brca,2,50,0.7047,16,0.4901,0.4508
dct_v3.3_score_first,brca,3,50,0.6669,7,0.5279,0.5202
dct_v3.3_score_first,brca,4,50,0.6705,5,0.4805,0.5231
v60_caapsa,blca,0,50,0.7274,7,0.5571,0.5479
v60_caapsa,blca,1,50,0.7623,2,0.6134,0.6105
v60_caapsa,blca,2,50,0.6605,19,0.5773,0.5747
v60_caapsa,blca,3,50,0.7421,36,0.7224,0.722
v60_caapsa,blca,4,50,0.7162,44,0.7144,0.7139
v70_pspc,blca,0,50,0.6648,4,0.6054,0.6048
v70_pspc,blca,1,50,0.6701,6,0.6058,0.6051
v70_pspc,blca,2,50,0.6373,15,0.5821,0.5821
v70_pspc,blca,3,50,0.6951,14,0.647,0.6466
v70_pspc,blca,4,50,0.726,34,0.6432,0.6457
