method,config,seed,n_folds,expected_folds,split_protocol,best_val_cindex_mean,best_val_cindex_std,last5_val_cindex_mean,last5_val_cindex_std,best_gap,val_cindex_ipcw_mean,val_IBS_mean,val_iauc_mean,notes
dct_fix,configs/fix/distributional_counterfactual_transport_fix_blca.yaml,14623,5,5,B global qcut fixed,0.7217,0.0545,0.5920,0.0213,0.1297,0.6655,0.2183,0.5241,
catet_fix,configs/fix/censoring_aware_temporal_evidence_transport_fix_blca.yaml,27785,5,5,B global qcut fixed,0.6534,0.0790,0.5474,0.0320,0.1060,0.5971,0.2328,0.5724,
faithful_fix,configs/fix/faithful_evidence_transport_fix_blca.yaml,23541,5,5,B global qcut fixed,0.6519,0.0798,0.5892,0.0600,0.0627,0.5850,0.2585,0.6360,
rg_et_fix,configs/fix/rank_guided_event_transport_fix_blca.yaml,19552,5,5,B global qcut fixed,0.6495,0.0763,0.5923,0.0867,0.0572,0.5804,0.2312,0.6862,
v50_norank,configs/fix/v50_norank_blca.yaml,22646,5,5,B global qcut fixed,0.7148,0.0276,0.6572,0.0123,0.0577,0.6422,0.2275,0.5920,
v45_norank,configs/fix/v45_norank_blca.yaml,6792,5,5,B global qcut fixed,0.6848,0.0410,0.6406,0.0282,0.0441,0.6277,0.2360,0.6598,
v45v2_norank,configs/fix/v45v2_norank_blca.yaml,323,5,5,B global qcut fixed,0.7063,0.0353,0.6394,0.0284,0.0669,0.6391,0.2208,0.6078,
V60,configs/v60_ot_event_rank_blca.yaml,3,5,5,B global qcut fixed,0.6790,0.0541,0.6063,0.0354,0.0728,0.6195,0.4194,0.6223,
V51 seed3,configs/v51_slimbridge.yaml,3,5,5,B global qcut fixed,0.6786,0.0620,0.6207,0.0649,0.0580,0.6094,0.5648,0.6131,
V51 seed5,configs/v51_slimbridge.yaml,5,5,5,B global qcut fixed,0.6582,0.0650,0.6088,0.0496,0.0494,0.5983,0.5447,0.5967,
stagewise_prognostic_transport,configs/stagewise_prognostic_transport_blca.yaml,3,1,5,A* old fold-aware qcut,0.6741,0.0000,0.6349,0.0000,0.0392,0.6931,0.2383,0.7277,"partial_folds_present=fold2_missing=0,1,3,4"
